LGA_NAME21,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Western Downs,0.165025315,7,34.10909613,0,52.16708947,1,0,59,0,0.002797039,F,0.118644068,F,0.578120273,C,0,F,0.884187957,A,0.002797039,F,0.348382171,D,0.442093979,D
Westonia,0.042686385,2,10.8849476,0,15.35364316,0,0,19,0,0.002246652,F,0.105263158,F,0.572891979,C,0,F,0.808086482,B,0.002246652,F,0.339077568,D,0.404043241,D
Whitehorse,0.120811041,6,18.64514645,0,20.23760518,0,0,24,0,0.005033793,F,0.25,E,0.776881102,B,0,F,0.843233549,A,0.005033793,F,0.513440551,C,0.421616775,D
Whitsunday,0.078319517,8,36.83518182,0,42.12502389,1,0,48,0,0.001631657,F,0.166666667,F,0.767399621,B,0,F,0.877604664,A,0.001631657,F,0.467033144,D,0.438802332,D
Whittlesea,0.404689497,9,31.37120948,0,34.2413887,0,0,42,0,0.009635464,F,0.214285714,E,0.746933559,B,0,F,0.815271159,B,0.009635464,F,0.480609637,D,0.40763558,D
Whyalla,1.145208343,2,24.05682906,0,20.85824064,0,0,25,0,0.045808334,F,0.08,F,0.962273163,A,0,F,0.834329626,A,0.045808334,F,0.521136581,C,0.417164813,D
Wickepin,0.042686385,1,5.167522041,0,9.33699896,0,0,11,0,0.00388058,F,0.090909091,F,0.469774731,D,0,F,0.848818087,A,0.00388058,F,0.280341911,E,0.424409044,D
Williams,0.663890496,5,13.36517926,0,16.26215371,0,0,19,0,0.034941605,F,0.263157895,E,0.703430487,B,0,F,0.855902827,A,0.034941605,F,0.483294191,D,0.427951413,D
Willoughby,0.283493577,12,52.85973873,0,49.26227149,1,0,59,0,0.004804976,F,0.203389831,E,0.895927775,A,0,F,0.834953754,A,0.004804976,F,0.549658803,C,0.417476877,D
Wiluna,0.148523237,2,10.00295423,0,10.05414437,0,0,11,0,0.013502112,F,0.181818182,E,0.909359475,A,0,F,0.914013124,A,0.013502112,F,0.545588829,C,0.457006562,D
Wingecarribee,2.378758302,14,62.22916553,0,69.69124181,3,0,83,0,0.028659739,F,0.168674699,E,0.749748982,B,0,F,0.839653516,A,0.028659739,F,0.459211841,D,0.419826758,D
Winton,0.003553147,1,9.012762505,0,10.66270104,0,0,12,0,0.000296096,F,0.083333333,F,0.751063542,B,0,F,0.88855842,A,0.000296096,F,0.417198438,D,0.44427921,D
